ID	name	author	levelUnlock	priceRuby	priceCoin	Song Loop	isLocal	VersionMid	VersionMp3	Midi	Mp3File	Mp3File2	isCrypto	speedBegin	speedIncreaseAfterOneLoop	isTraditionalFile	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
145	Little Friend		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/littlefriend.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/littlefriend.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
144	Piano Diary		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/pianodiary.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/pianodiary.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
143	Piano Tales		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/pianotales.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/pianotales.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
142	In Bloom		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/inbloom.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/inbloom.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
141	Memory In Time		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/MemoryInTime_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/MemoryInTime_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
140	Stars In Night		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/StarsInNight_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/StarsInNight_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
139	Bright Star		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/BrightStar2_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/BrightStar_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
138	Moon Forest		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/MoonForest2_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/MoonForest_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
137	Tree Scent		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/TreeScent_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/TreeScent_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
136	Don't Go Away		1	0	0	1	0	0	0	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/DontGoAway2_notes.mid	https://raw.githubusercontent.com/ben29111994/Light-Dance/master/MusicDatabase/DontGoAway_original.mp3		1	1	0.25	1	0;40.0;80.0	1;1;1	1900	1000	HOT	2
